"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 15 14:29:26 EDT 2023","Tue Aug 15 14:29:26 EDT 2023","615","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_dropdown_select","home_dropdown_select",""
"passed","Tue Aug 15 14:31:54 EDT 2023","Tue Aug 15 14:31:55 EDT 2023","211","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","loginlnk_click","loginlnk_click",""
"passed","Tue Aug 15 14:32:24 EDT 2023","Tue Aug 15 14:32:25 EDT 2023","695","Command line suite","Command line test","Pages_Tests.SignIn_Test","Pages_Tests.SignIn_Test","pass_field_empty","pass_field_empty",""
"passed","Tue Aug 15 14:31:23 EDT 2023","Tue Aug 15 14:31:24 EDT 2023","901","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","pass_numbers","pass_numbers",""
"passed","Tue Aug 15 14:29:48 EDT 2023","Tue Aug 15 14:29:48 EDT 2023","675","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_dropdown_select","home_dropdown_select",""
"passed","Tue Aug 15 14:30:43 EDT 2023","Tue Aug 15 14:30:44 EDT 2023","994","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","pass_empty","pass_empty",""
"passed","Tue Aug 15 14:28:04 EDT 2023","Tue Aug 15 14:28:08 EDT 2023","3602","Command line suite","Command line test","Pages_Tests.DataStructures_Test","Pages_Tests.DataStructures_Test","Time_Comp_click","Time_Comp_click",""
"passed","Tue Aug 15 14:32:02 EDT 2023","Tue Aug 15 14:32:03 EDT 2023","1298","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","valid_login","valid_login",""
"passed","Tue Aug 15 14:32:33 EDT 2023","Tue Aug 15 14:32:34 EDT 2023","759","Command line suite","Command line test","Pages_Tests.SignIn_Test","Pages_Tests.SignIn_Test","invalid_entry","invalid_entry",""
"passed","Tue Aug 15 14:31:47 EDT 2023","Tue Aug 15 14:31:47 EDT 2023","860","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","valid_entry","valid_entry",""
"passed","Tue Aug 15 14:32:16 EDT 2023","Tue Aug 15 14:32:17 EDT 2023","721","Command line suite","Command line test","Pages_Tests.SignIn_Test","Pages_Tests.SignIn_Test","all_field_empty","all_field_empty",""
"passed","Tue Aug 15 14:28:28 EDT 2023","Tue Aug 15 14:28:29 EDT 2023","727","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_click_getstarted","home_click_getstarted",""
"passed","Tue Aug 15 14:30:10 EDT 2023","Tue Aug 15 14:30:10 EDT 2023","618","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","signin_launch","signin_launch",""
"passed","Tue Aug 15 14:32:40 EDT 2023","Tue Aug 15 14:32:42 EDT 2023","1128","Command line suite","Command line test","Pages_Tests.SignIn_Test","Pages_Tests.SignIn_Test","valid_Excel","valid_Excel",""
"passed","Tue Aug 15 14:30:52 EDT 2023","Tue Aug 15 14:30:52 EDT 2023","913","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","confpass_empty","confpass_empty",""
"passed","Tue Aug 15 14:30:16 EDT 2023","Tue Aug 15 14:30:16 EDT 2023","14","Command line suite","Command line test","Pages_Tests.LaunchPage_Test","Pages_Tests.LaunchPage_Test","launch_title","launch_title",""
"passed","Tue Aug 15 14:29:41 EDT 2023","Tue Aug 15 14:29:41 EDT 2023","485","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_dropdown_select","home_dropdown_select",""
"passed","Tue Aug 15 14:28:18 EDT 2023","Tue Aug 15 14:28:19 EDT 2023","325","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_title","home_title",""
"passed","Tue Aug 15 14:28:45 EDT 2023","Tue Aug 15 14:28:46 EDT 2023","710","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_click_getstarted","home_click_getstarted",""
"passed","Tue Aug 15 14:29:55 EDT 2023","Tue Aug 15 14:29:56 EDT 2023","755","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_dropdown_select","home_dropdown_select",""
"passed","Tue Aug 15 14:27:36 EDT 2023","Tue Aug 15 14:27:36 EDT 2023","26","Command line suite","Command line test","Pages_Tests.DataStructures_Test","Pages_Tests.DataStructures_Test","DS_launch","DS_launch",""
"passed","Tue Aug 15 14:28:37 EDT 2023","Tue Aug 15 14:28:38 EDT 2023","382","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_click_getstarted","home_click_getstarted",""
"passed","Tue Aug 15 14:29:10 EDT 2023","Tue Aug 15 14:29:11 EDT 2023","660","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_click_getstarted","home_click_getstarted",""
"passed","Tue Aug 15 14:31:07 EDT 2023","Tue Aug 15 14:31:08 EDT 2023","756","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","uname_exist","uname_exist",""
"passed","Tue Aug 15 14:31:15 EDT 2023","Tue Aug 15 14:31:16 EDT 2023","968","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","pass_mismatch","pass_mismatch",""
"passed","Tue Aug 15 14:31:31 EDT 2023","Tue Aug 15 14:31:33 EDT 2023","1237","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","pass_unamesame","pass_unamesame",""
"passed","Tue Aug 15 14:32:10 EDT 2023","Tue Aug 15 14:32:10 EDT 2023","407","Command line suite","Command line test","Pages_Tests.SignIn_Test","Pages_Tests.SignIn_Test","register_sigin_launch","register_sigin_launch",""
"passed","Tue Aug 15 14:31:39 EDT 2023","Tue Aug 15 14:31:40 EDT 2023","831","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","pass_common","pass_common",""
"passed","Tue Aug 15 14:30:03 EDT 2023","Tue Aug 15 14:30:03 EDT 2023","553","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_dropdown_select","home_dropdown_select",""
"passed","Tue Aug 15 14:27:49 EDT 2023","Tue Aug 15 14:27:51 EDT 2023","2659","Command line suite","Command line test","Pages_Tests.DataStructures_Test","Pages_Tests.DataStructures_Test","Time_Comp_click","Time_Comp_click",""
"passed","Tue Aug 15 14:29:03 EDT 2023","Tue Aug 15 14:29:03 EDT 2023","590","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_click_getstarted","home_click_getstarted",""
"passed","Tue Aug 15 14:30:35 EDT 2023","Tue Aug 15 14:30:36 EDT 2023","1096","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","all_field_empty","all_field_empty",""
"passed","Tue Aug 15 14:31:00 EDT 2023","Tue Aug 15 14:31:00 EDT 2023","883","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","uname_char","uname_char",""
"passed","Tue Aug 15 14:29:34 EDT 2023","Tue Aug 15 14:29:34 EDT 2023","651","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_dropdown_select","home_dropdown_select",""
"passed","Tue Aug 15 14:29:18 EDT 2023","Tue Aug 15 14:29:19 EDT 2023","533","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_click_getstarted","home_click_getstarted",""
"passed","Tue Aug 15 14:30:21 EDT 2023","Tue Aug 15 14:30:23 EDT 2023","1455","Command line suite","Command line test","Pages_Tests.LaunchPage_Test","Pages_Tests.LaunchPage_Test","launch_click","launch_click",""
"passed","Tue Aug 15 14:28:55 EDT 2023","Tue Aug 15 14:28:56 EDT 2023","341","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_click_getstarted","home_click_getstarted",""
